trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_00280,,,,9,10.722761,4.413939,7.127104,2.713165,2.713165,,0.121702,0.449242,24.808854,18.860073,13.043037,1.445988,0,0.0,0.0,0,2.53,0.543478,0.0,192.0,45.0,96.23172,830981be4a942255a4505c70dabd59ac554c9587,3f5d7570d6f33ab0f54ea4dcedf4f0ab123b5016
scene_1_1_true_gain2_no_backtrack_balanced_00281,,,,9,8.06138,4.737159,7.127104,2.389946,2.389946,,0.131688,0.449242,22.679338,17.530873,12.054633,1.454285,0,0.0,0.0,0,1.716606,0.547619,0.0,135.0,0.0,99.570974,ac49408746f4926376037396e54b489bb063123f,6b6025faec9ffee1e628d0ee7f1321c6f80e711f
scene_1_1_true_gain2_no_backtrack_balanced_00282,,,,9,11.075395,4.527643,7.127104,2.599461,2.599461,,0.171745,0.449242,29.133038,22.185674,17.293967,1.282856,0,0.0,0.0,0,1.59682,0.55,0.0,135.0,90.0,96.23172,9b981fcda52dc968edd058df4424a1b8c79eec2f,a19c3a02ed54883f3d68363e5156432cb7d75213
scene_1_1_true_gain2_no_backtrack_balanced_00283,,,,8,16.076706,4.29299,7.127104,2.834115,2.834115,,0.369451,0.449242,38.758394,35.368753,31.544659,1.121228,0,0.0,0.0,0,5.323754,0.532468,1.26,45.0,45.0,97.055393,ea9e6fb25ca4e8a06fc6c8595237909b5a61163d,ce77a5922d69921c0ea9c4958ca7ca7d13bba889
scene_1_1_true_gain2_no_backtrack_balanced_00284,,,,9,10.854177,4.621873,7.127104,2.505231,2.505231,,0.171745,0.449242,29.961635,23.776496,20.775464,1.144451,0,0.0,0.0,0,1.59682,0.545455,1.26,165.0,45.0,96.23172,992125e78bcb60081206ec701ad08cd7da083210,3638a748dabc74864c0549a8cf445c63b66478f9
scene_1_1_true_gain2_no_backtrack_balanced_00285,,,,9,11.341986,4.379969,7.127104,2.747135,2.747135,,0.171745,0.449242,31.002018,24.849674,21.44692,1.158659,0,0.0,0.0,0,1.59682,0.545455,1.26,195.0,45.0,96.23172,cec0e487afc38ed2b479bc9c7544edab3a81e8d0,37618c6205d7d233d755d6180c5a8ba1145331f1
scene_1_1_true_gain2_no_backtrack_balanced_00286,,,,8,14.628155,4.932129,7.127104,2.194975,2.194975,,0.078369,0.449242,33.742445,29.48194,27.054957,1.089706,0,0.0,0.0,0,5.1725,0.507463,0.0,105.0,45.0,97.259537,852edd9b8bd0f29137007144b5c9984f6b73d40f,a4c32d6350d0265f595376bcf19c7a19a16170cc
scene_1_1_true_gain2_no_backtrack_balanced_00287,,,,9,11.250326,4.423719,7.127104,2.703385,2.703385,,0.171745,0.449242,30.945067,24.648023,21.181412,1.163663,0,0.0,0.0,0,1.59682,0.533333,0.0,195.0,45.0,96.23172,da6614e47375633652ea1e48cabdc4010d93af97,84e5d766c79418620920f5f870b0f8565853fe2c
scene_1_1_true_gain2_no_backtrack_balanced_00288,,,,8,8.576483,4.777029,7.127104,2.350076,2.350076,,0.161617,0.449242,23.319367,18.275762,12.858181,1.421333,0,0.0,0.0,0,2.613462,0.534884,0.0,132.0,45.0,96.23172,f98a2caae6a5db3eb24537dba89c9e6202af2f74,c8695c3f3c441d700dd0d36fff1ad46f312acf79
scene_1_1_true_gain2_no_backtrack_balanced_00289,,,,9,12.201981,4.535341,7.127104,2.591763,2.591763,,0.124523,0.445414,30.851726,23.427219,15.967718,1.467161,0,0.0,0.0,0,1.680727,0.54,0.0,255.0,45.0,97.663512,64211bf3c29ee548cc6835fff10b5978e8f8d0d8,644b1269263c642b2d0ede6481ff70b59518a143
scene_1_1_true_gain2_no_backtrack_balanced_00290,,,,7,10.534844,4.913906,7.127104,2.213199,2.213199,,0.279555,0.436416,22.532509,18.056657,12.857197,1.404401,0,0.0,0.0,0,2.270838,0.536585,0.0,105.0,45.0,90.0,170cce608555ea9aac90854a6b522dd6ecf907d3,f077d06baf6c724914701f12d3db9f87fce33d78
scene_1_1_true_gain2_no_backtrack_balanced_00291,,,,8,14.181887,4.440928,7.127104,2.686176,2.686176,,0.232605,0.449848,35.626172,29.98515,26.165468,1.145982,0,0.0,0.0,0,5.323754,0.5,0.0,105.0,45.0,97.055393,2a9a49c17a7227f02855c79078aa2249effd5967,409be62261a63347376bcd0c1ab651ada655f9df
scene_1_1_true_gain2_no_backtrack_balanced_00292,,,,9,16.151965,4.114046,7.127104,3.013058,3.013058,,0.248165,0.449242,40.199077,35.534323,32.035496,1.109217,0,0.0,0.0,0,2.613462,0.5,0.0,132.0,45.0,96.23172,0eace3348b581d183b13d17b40e9d928bcbfe2f8,b64c360951c118634b41d76930721910aacdaa5c
scene_1_1_true_gain2_no_backtrack_balanced_00293,,,,10,12.330701,4.182925,7.127104,2.944179,2.944179,,0.153105,0.449242,30.270226,23.406928,17.293967,1.353474,1,0.046693,0.046693,0,1.716606,0.545455,0.0,195.0,45.0,99.570974,1b46c97dc01ec61b1b5deee3c7f560938bc5ce6d,59a2d51c838ca7ee7c9128c36a912e446aec9821
scene_1_1_true_gain2_no_backtrack_balanced_00294,,,,10,15.446074,4.043573,7.127104,3.083531,3.083531,,0.171745,0.449242,39.996384,33.878669,31.262541,1.083683,0,0.0,0.0,0,1.59682,0.590909,0.0,255.0,45.0,96.23172,09568b08431490124ae183bbb9b5344ccf9bacd9,fb03a4cfd412ca87bcca498a8db3c8b1440a1bdb
scene_1_1_true_gain2_no_backtrack_balanced_00295,,,,9,11.617921,4.294077,7.127104,2.833027,2.833027,,0.171745,0.449242,31.626291,25.456733,21.181412,1.201843,0,0.0,0.0,0,1.59682,0.565217,0.0,162.0,45.0,96.23172,c09338b421f7690d088d31c259f137955d76829d,ea24720795413105d6effaa8b4657c06dd99efe2
scene_1_1_true_gain2_no_backtrack_balanced_00296,,,,10,11.381943,4.238916,7.127104,2.888188,2.888188,,0.171745,0.449242,32.029925,22.860079,15.722395,1.453982,1,0.112298,0.112298,0,1.59682,0.575,0.0,225.0,135.0,96.23172,199e1ce3ef2c4dcc113f379e79c3d0f4f6a5c681,282ff93e6fb74d06c6d78f2ebfdb03bca3d6d66c
scene_1_1_true_gain2_no_backtrack_balanced_00297,,,,9,15.93529,3.997882,7.127104,3.129222,3.129222,,0.329047,0.449242,41.112025,35.057637,31.960284,1.096913,0,0.0,0.0,0,5.323754,0.558442,0.0,225.0,45.0,97.055393,58a51927b2139714a8d16e52061b81146edaf7cc,98860ada1c21be3545894a3f68f26cd333ffcacf
scene_1_1_true_gain2_no_backtrack_balanced_00298,,,,8,9.525628,4.664342,7.127104,2.462762,2.462762,,0.171745,0.449242,26.344094,20.853687,15.681971,1.329787,0,0.0,0.0,0,1.59682,0.595745,0.0,105.0,45.0,96.23172,65be927f12da80864c4c627c6dee217498fa8778,60d3a7af3152f800dbd6711e7e4d23e963b715f3
scene_1_1_true_gain2_no_backtrack_balanced_00299,,,,10,13.574822,3.861717,7.127104,3.265388,3.265388,,0.30408,0.449242,33.451094,23.949609,16.017354,1.495229,2,0.28219,0.28219,0,1.716606,0.551724,0.0,315.0,45.0,99.570974,75cf8f4e08f69b2b040f8dc8c6f7aa8bb53f93a7,1f7097e75e3954920cd3d9b7a09174512eccdea6
scene_1_1_true_gain2_no_backtrack_balanced_00300,,,,9,14.715527,4.036871,7.127104,3.090233,3.090233,,0.300146,0.444459,34.653228,28.45916,22.053675,1.29045,2,0.184567,0.184567,0,2.53,0.6,0.0,120.0,90.0,90.0,37ffbde7a013065c5de65be4c8cb0590d1d81cda,0403c7b01cfc59bf43fa78e6142f3d31f5bdb78f
