trajectory_id,overlap_group_id,overlap_group_index,overlap_group_member_index,keyframe_count,duration_sec,start_score,end_score,score_gain,score_change,score_drop,min_real_score_step,max_real_score_step,route_objective,path_xyz_length,net_xyz_distance,path_to_net_ratio,target_distance_increase_step_count,target_distance_total_increase,planning_target_distance_total_increase,near_revisit_pair_count,minimum_nonadjacent_distance,maximum_pairwise_route_overlap_fraction,nearest_selected_start_distance,total_yaw_change,total_pitch_change,max_control_turn_deg,physical_geometry_signature,real_node_path_signature
scene_1_1_true_gain2_no_backtrack_balanced_02503,,,,11,15.739494,3.967646,7.127104,3.159459,3.159459,,0.167566,0.449242,39.983632,34.524192,31.287922,1.103435,0,0.0,0.0,0,1.59682,,,105.0,45.0,96.23172,46e6ae7471cd119326cb8fe81ac3d5622c67c6bc,fe30ef71d34ef580564ccefa0813b1ff611419a4
scene_1_1_true_gain2_no_backtrack_balanced_02504,,,,8,17.843177,4.942141,7.127104,2.184964,2.184964,,0.112292,0.412476,41.046501,39.254988,36.64529,1.071215,0,0.0,0.0,0,10.345,,,45.0,0.0,60.59214,dddcd815d22285b7a71025209bbd990bcfc04145,d4f7a6cd7fe330a3e326244d53f7c509ca7b7f9d
scene_1_1_true_gain2_no_backtrack_balanced_02505,,,,8,10.81737,4.572614,7.127104,2.554491,2.554491,,0.235481,0.449242,27.288835,21.720714,17.294699,1.255917,0,0.0,0.0,0,1.716606,,,105.0,45.0,99.570974,c2b1c4eed00c2753f50a6a37a80b95d843ded522,60ee1a4e3e376223c9a372d80b5d8d1a407a85ef
scene_1_1_true_gain2_no_backtrack_balanced_02506,,,,7,11.098428,5.025972,7.127104,2.101132,2.101132,,0.26668,0.449242,27.539953,24.416542,20.69,1.180113,0,0.0,0.0,0,1.716606,,,45.0,0.0,99.570974,bb43251cc0c791de0ccaaa5bb9b27d9bf2a4b110,9b67e81e853b892842843f1582b1a19f54b83a28
scene_1_1_true_gain2_no_backtrack_balanced_02507,,,,10,12.768286,3.742424,7.127104,3.38468,3.38468,,0.171745,0.449242,34.677557,27.395035,21.4839,1.275143,0,0.0,0.0,0,1.59682,,,255.0,45.0,96.23172,fd11d5fdd46113999768430da88fc082b98f448a,ede4bc251730100e674ce5cced89f389a9152331
scene_1_1_true_gain2_no_backtrack_balanced_02508,,,,9,8.579937,4.597451,7.127104,2.529654,2.529654,,0.171745,0.449242,24.575512,17.355666,12.054633,1.439751,0,0.0,0.0,0,1.59682,,,165.0,45.0,96.23172,a8badee0df4497127d81f0a3988a1ba482647c51,025fb14e08382ea57cc4560512b154b09314a47d
scene_1_1_true_gain2_no_backtrack_balanced_02509,,,,9,17.565645,4.303571,7.127104,2.823534,2.823534,,0.261063,0.449018,42.983562,38.644419,36.2075,1.067304,0,0.0,0.0,0,2.593146,,,255.0,45.0,23.732586,0d3e6d29e8790517b8e27e6b77aa2bad199d3294,8b20f2f631ac3f693a52fcde2b44d9cb2cdcec16
scene_1_1_true_gain2_no_backtrack_balanced_02510,,,,7,11.354922,4.683909,7.127104,2.443195,2.443195,,0.304253,0.443722,26.436342,22.280829,17.293967,1.288358,0,0.0,0.0,0,5.323754,,,45.0,45.0,90.0,77b3bfe18b7612e4b285c37ee0376abcb58f868b,496b5266e66a3379395fbd4897066b2ccb37e6c5
scene_1_1_true_gain2_no_backtrack_balanced_02511,,,,9,12.403227,4.228294,7.127104,2.89881,2.89881,,0.25333,0.449242,29.968077,24.5871,17.432573,1.410411,1,0.048001,0.048001,0,2.265261,,,105.0,45.0,97.055393,abdb1717b614b6b3f8560fcf95b8dd3334df9980,029b7b930e6b1b26e632e4484d731ab7b4963d05
scene_1_1_true_gain2_no_backtrack_balanced_02512,,,,9,15.203568,4.211231,7.127104,2.915873,2.915873,,0.241276,0.439327,35.117309,28.125349,20.813638,1.351294,1,0.253848,0.253848,0,2.270838,,,165.0,45.0,90.0,e759616c719e04fcc80d34bbddb55c5bbf0b55a8,64f91edc67372b32205b215b6ccb42455eb625e9
