trajectory_id,num_keyframes,duration_sec,start_raw_score,end_raw_score,endpoint_node_id,endpoint_dataset_id,endpoint_sample_index,endpoint_point_index,path_xyz_length,net_xyz_distance,max_xyz_step,mean_xyz_step,total_yaw_change,max_yaw_step,total_pitch_change,max_pitch_step,max_abs_score_step,physical_path_signature
scene_1_1_traj_00045,80,15.8,7.127104,5.008178,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4820|10,scene_1.1_y03_medium_dense_y03_3p13,4820,10,36.229766,36.229766,0.458605,0.458605,90.0,1.139241,0.0,0.0,0.083094,acaed173580b75f2ac23e0fe9e166f52d467b7b3
scene_1_1_traj_00046,80,15.8,7.127104,5.423015,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2005|92,scene_1.1_y01_medium_dense_y01_0p60,2005,92,47.174397,47.174397,0.597145,0.597144,45.0,0.569621,0.0,0.0,0.066826,89195a433a00141bc077ef2887da1480e5bb3661
scene_1_1_traj_00047,80,15.8,7.127104,5.755369,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4780|8,scene_1.1_y03_medium_dense_y03_3p13,4780,8,46.56982,46.56982,0.589492,0.589491,90.0,1.139241,0.0,0.0,0.053792,70a1e62152254506043ce64048259d97b376223d
scene_1_1_traj_00048,80,15.8,7.127104,5.674868,scene_1|scene_1.1_y03_medium_dense_y03_3p13|5238|29,scene_1.1_y03_medium_dense_y03_3p13,5238,29,46.607853,46.607853,0.589974,0.589973,90.0,1.139241,0.0,0.0,0.056949,2a173c8015a28bdcb41ee6392fa9a8c502437467
scene_1_1_traj_00049,80,15.8,7.127104,4.903409,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7566|29,scene_1.1_y04_medium_dense_y04_4p39,7566,29,46.659189,46.659189,0.590624,0.590623,165.0,2.088608,45.0,0.569621,0.087202,2c95559484079a87bb3120ca3018063a8ebb07d4
scene_1_1_traj_00050,80,15.8,7.127104,3.452195,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2067|94,scene_1.1_y01_medium_dense_y01_0p60,2067,94,37.003669,37.003669,0.468401,0.468401,135.0,1.708861,90.0,1.139241,0.144112,d3b09ba0c79b75d56d5871ad9c324965673def6d
scene_1_1_traj_00051,80,15.8,7.127104,3.565301,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8987|94,scene_1.1_y04_medium_dense_y04_4p39,8987,94,37.068651,37.068651,0.469224,0.469223,15.0,0.189874,45.0,0.569621,0.139676,58a2d4de656016555c05b1b1450e36f23ffca365
scene_1_1_traj_00052,80,15.8,7.127104,4.523354,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2059|94,scene_1.1_y01_medium_dense_y01_0p60,2059,94,37.003669,37.003669,0.468401,0.468401,105.0,1.329114,45.0,0.569621,0.102106,40d7b6f0b64ca2141a21b58caecd5df058426c0c
scene_1_1_traj_00053,80,15.8,7.127104,3.545379,scene_1|scene_1.1_y01_medium_dense_y01_0p60|1093|50,scene_1.1_y01_medium_dense_y01_0p60,1093,50,46.721495,46.721495,0.591412,0.591411,135.0,1.708861,45.0,0.569621,0.140457,ac8604f88c9bd675699e3fd8b61864a2a8b4df29
scene_1_1_traj_00054,80,15.8,7.127104,4.064291,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8021|50,scene_1.1_y04_medium_dense_y04_4p39,8021,50,46.772977,46.772977,0.592064,0.592063,105.0,1.329114,45.0,0.569621,0.120108,75f2c8057b913c03024b073ac7524ad77c588b03
