trajectory_id,num_keyframes,duration_sec,start_raw_score,end_raw_score,endpoint_node_id,endpoint_dataset_id,endpoint_sample_index,endpoint_point_index,path_xyz_length,net_xyz_distance,max_xyz_step,mean_xyz_step,total_yaw_change,max_yaw_step,total_pitch_change,max_pitch_step,max_abs_score_step,physical_path_signature
scene_1_1_traj_00072,80,15.8,7.127104,5.061071,scene_1|scene_1.1_y04_medium_dense_y04_4p39|7133|10,scene_1.1_y04_medium_dense_y04_4p39,7133,10,36.295784,36.295784,0.459441,0.45944,45.0,0.569621,0.0,0.0,0.081019,9306baad43244872c6f9330bd76816aad6acd218
scene_1_1_traj_00073,80,15.8,7.127104,4.029191,scene_1|scene_1.1_y04_medium_dense_y04_4p39|8952|92,scene_1.1_y04_medium_dense_y04_4p39,8952,92,47.225386,47.225386,0.597791,0.59779,165.0,2.088608,45.0,0.569621,0.121485,ad27c35fe93e5c5a0c3dbf5654b1fd9cbeaf6744
scene_1_1_traj_00074,80,15.8,7.127104,3.85507,scene_1|scene_1.1_y03_medium_dense_y03_3p13|4793|8,scene_1.1_y03_medium_dense_y03_3p13,4793,8,46.56982,46.56982,0.589492,0.589491,105.0,1.329114,45.0,0.569621,0.128313,4201c186e832f80e5bc21a6f799dfca3ed0a93dd
scene_1_1_traj_00075,80,15.8,7.127104,3.866742,scene_1|scene_1.1_y02_medium_dense_y02_1p86|4329|92,scene_1.1_y02_medium_dense_y02_1p86,4329,92,47.157567,47.157567,0.596932,0.596931,15.0,0.189874,45.0,0.569621,0.127855,f5afe8d9aafbd2c0605c96051cd884eaa19d9464
scene_1_1_traj_00076,80,15.8,7.127104,5.307295,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2047|94,scene_1.1_y01_medium_dense_y01_0p60,2047,94,37.003669,37.003669,0.468401,0.468401,135.0,1.708861,0.0,0.0,0.071364,5aa3f6ca7bc460298872e3905f3a32d5f9872733
scene_1_1_traj_00077,80,15.8,7.127104,5.306059,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2472|8,scene_1.1_y02_medium_dense_y02_1p86,2472,8,46.5525,46.5525,0.589273,0.589272,180.0,2.278482,0.0,0.0,0.071412,155c0aca10c9e54ed997315f138a4c06b5863281
scene_1_1_traj_00078,80,15.8,7.127104,3.749076,scene_1|scene_1.1_y02_medium_dense_y02_1p86|2942|29,scene_1.1_y02_medium_dense_y02_1p86,2942,29,46.590547,46.590547,0.589755,0.589754,75.0,0.949368,45.0,0.569621,0.132469,45c964917ac63d95072d077286fd03f7065958a2
scene_1_1_traj_00079,80,15.8,7.127104,3.54884,scene_1|scene_1.1_y03_medium_dense_y03_3p13|6644|92,scene_1.1_y03_medium_dense_y03_3p13,6644,92,47.174665,47.174665,0.597149,0.597148,135.0,1.708861,90.0,1.139241,0.140322,0cf8502ea1c6f3c4f38232623ab6cc2622ba23dd
scene_1_1_traj_00080,80,15.8,7.127104,3.869209,scene_1|scene_1.1_y02_medium_dense_y02_1p86|4333|92,scene_1.1_y02_medium_dense_y02_1p86,4333,92,47.157567,47.157567,0.596932,0.596931,135.0,1.708861,90.0,1.139241,0.127758,df19958321328a3099bdb6da921e4dd95b66705b
scene_1_1_traj_00081,80,15.8,7.127104,4.622014,scene_1|scene_1.1_y01_medium_dense_y01_0p60|2064|94,scene_1.1_y01_medium_dense_y01_0p60,2064,94,37.003669,37.003669,0.468401,0.468401,45.0,0.569621,45.0,0.569621,0.098237,8fcfab77af2a7892029d326b60b94fec7801d7ec
scene_1_1_traj_00082,80,15.8,7.127104,4.236909,scene_1|scene_1.1_y01_medium_dense_y01_0p60|207|10,scene_1.1_y01_medium_dense_y01_0p60,207,10,36.229417,36.229417,0.4586,0.4586,135.0,1.708861,45.0,0.569621,0.113339,56ffa8ddd2c5b02f70d7b644bdc6f65e67c97c1c
